route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
harju_regionalbus_H3,"H3","Keila-Joa - Mäe - Vääna -Kiia- Harku - Harkuj. - Tabasalu",,3,,,
harju_regionalbus_H3A,"H3A","Tabasalu - Harku - Harkujärve",,3,,,
harju_regionalbus_H4,"H4","Vääna - V-Jõesuu - Tabasalu - Harku - Suurupi - Keila-Joa",,3,,,
harju_regionalbus_H6,"H6","Vääna - Humala - Tutermaa - Kumna - Keila",,3,,,
harju_regionalbus_H7,"H7","Harkujärve - Tabasalu - Suurupi - Vääna - Vääna-Jõesuu",,3,,,
harju_regionalbus_H8,"H8","Keila - Kumna - Vääna",,3,,,
harju_regionalbus_H9,"H9","Vääna-Jõesuu - Suurupi- Tabasalu- Harkuj - Sõrve-Suurupi",,3,,,
harju_regionalbus_J1,"J1","Tallinn - Laagna - Rebala - Jõelähtme - Ihasalu -  Neeme",,3,,,
harju_regionalbus_J10,"J10","Manniva - Jõelähtme - Neeme tee - Jõelähtme - Rebala - Kostivere",,3,,,
harju_regionalbus_J11,"J11","Loo - Kostivere - Rebala - Jõelähtme - Jägala - Kostivere - Jägala - Jõelähtme - Kostivere",,3,,,
harju_regionalbus_J12,"J12","Kostivere - Jõelähtme - Kuusalu kool - Kaberneeme - Neeme - Jõelähtme - Kostivere",,3,,,
harju_regionalbus_J13,"J13","Loo - Kostivere - Rebala-Jõelähtme-Jägala-Raasiku-Kostivere",,3,,,
harju_regionalbus_J14,"J14","Neeme tee - Jõelähtme - Loo - Lagedi kool - Loo",,3,,,
harju_regionalbus_J15,"J15","Pirita jõgi - Saviranna - Ülgase - Liivamäe küla - Loo",,3,,,
harju_regionalbus_J2,"J2","Jõelähtme - Kaberneeme - Kullamäe",,3,,,
harju_regionalbus_J3,"J3","Kallavere - Iru - Loo",,3,,,
harju_regionalbus_J4,"J4","Neeme tee - Kaberneeme - Kuusalu kool - Jägala - Haljava - Kostivere",,3,,,
harju_regionalbus_J5,"J5","Kostivere - Loo - Kostivere - Kaberla - Neeme tee",,3,,,
harju_regionalbus_J6,"J6","Loo - Iru - Muuga - Kallavere - Ülgase - Uus-Rebala - Loo",,3,,,
harju_regionalbus_J7,"J7","Kostivere kool - Loo - Lagedi mõis - Kostivere",,3,,,
harju_regionalbus_J8,"J8","Loo - Kostivere - Rebala - Manniva- Jõelähtme- Sambu- Neeme",,3,,,
harju_regionalbus_J9,"J9","Loo - Iru - Muuga - Saviranna - Ülgase - Ellandvahe-Kostivere",,3,,,
harju_regionalbus_K1,"K1","GMN - Kose - Kivivõhma - Karla",,3,,,
harju_regionalbus_K11,"K11","Rõõmu-Sotsiaalmaja-Põhja tn-Kirik-Keila Veskid-Raudteejaam",,3,,,
harju_regionalbus_K12,"K12","Rõõmu - Raudteejaam - Kirik - Sotsiaalmaja - SOS",,3,,,
harju_regionalbus_K2,"K2","Kose - Ravila - Palvere - Vilama",,3,,,
harju_regionalbus_K3,"K3","Kose - Habaja - Kuimetsa - Kaiu",,3,,,
harju_regionalbus_K4,"K4","GMN - Kose - Viskla - Algkool - GMN - Kose",,3,,,
harju_regionalbus_K5,"K5","Kose GMN - Habaja - Alansi - Kanavere - Sepiku - Oru",,3,,,
harju_regionalbus_K6,"K6","Kose - Alavere - Kehra",,3,,,
harju_regionalbus_K7,"K7","Ardu - Kiruvere - Paunküla - Kõue - Virla - Kõue - Kose",,3,,,
harju_regionalbus_K8,"K8","Kose - Gümnaasium - Ojasoo - Virla - Kõue - Ardu",,3,,,
harju_regionalbus_K9,"K9","Kose - Tuhala - Oru - Saula - Algkool - GMN",,3,,,
harju_regionalbus_KV1,"KV1","Põllküla - Kloogaranna - Laulasmaa",,3,,,
harju_regionalbus_KV2,"KV2","Tõmmiku - Meremõisa - Laulasmaa",,3,,,
harju_regionalbus_KV3,"KV3","Loigu - Keila-Joa - Laulasmaa",,3,,,
harju_regionalbus_KV4,"KV4","Lohusalu - Laulasmaa",,3,,,
harju_regionalbus_KV5,"KV5","Ohtu - Lehola - Keila",,3,,,
harju_regionalbus_KV6,"KV6","Lohusalu - Laulasmaa - Kloogaranna - Keila",,3,,,
harju_regionalbus_KV7,"KV7","Laulasmaa - Keila-Joa - Keila",,3,,,
harju_regionalbus_KV8,"KV8","Laoküla - Madise - Põllküla - Kersalu - Keila",,3,,,
harju_regionalbus_R1,"R1","Jüri Gümnaasium - Lehmja -  Rae küla -  Kuldala - Assaku",,3,,,
harju_regionalbus_R10,"R10","Järveküla - Mõigu - Peetri - Järveküla",,3,,,
harju_regionalbus_R11,"R11","Jüri Gümnaasium - Pajupea - Tuulevälja - Lagedi kool",,3,,,
harju_regionalbus_R12,"R12","Lagedi kool - Tuulevälja - Seli - Pajupea - Jüri Gümnaasium",,3,,,
harju_regionalbus_R2,"R2","Jüri Gümnaasium - Vaadi - Seli - Lagedi kool",,3,,,
harju_regionalbus_R3,"R3","Jüri GMN- Kurna - Vana-Aaviku - Vaida - Aruvalla",,3,,,
harju_regionalbus_R4,"R4","Jüri Gümnaasium - Aaviku - Puraviku - Vaida",,3,,,
harju_regionalbus_R5,"R5","Suursoo - Veskimäe - Urvaste - Ellaku -Aruvalla - Vaida",,3,,,
harju_regionalbus_R7,"R7","Rae - Peetri kool",,3,,,
harju_regionalbus_R9,"R9","Järveküla kool - Peetri kool",,3,,,
harju_regionalbus_S1,"S1","Liidumäe - Jõgisoo - Valingu - Saue G- Vanamõisa - Laagri",,3,,,
harju_regionalbus_S2,"S2","Püha - Laagri kool - Koidu - Saue Gümnaasium",,3,,,
harju_regionalbus_S3,"S3","Kindluse - Vatsla - Harku - Laagri kool - Pääsküla G",,3,,,
harju_regionalbus_S4,"S4","Saue Gümnaasium - Laagri - Hüüru - Vanamõisa - Jõgisoo",,3,,,
harju_regionalbus_S5,"S5","Saue Gümnaasium - Laagri kool - Valingu - Jõgisoo",,3,,,
harju_regionalbus_S6,"S6","Püha - Seltsimaja - Vanamõisa - Saue Gümnaasium",,3,,,
harju_regionalbus_SK1,"SK1","Haiba - Kernu - Muusika - Allikamäe - Ruila - Laitse - Ruila",,3,,,
harju_regionalbus_SK2,"SK2","Nissi - Kibuna - Kaasiku - Laitse - Ruila - Haiba - Kernu-Nissi",,3,,,
harju_regionalbus_SK3,"SK3","Nissi - Ruila - Kaasiku - Kibuna -Laitse - Harutee",,3,,,
harju_regionalbus_SN1,"SN1","Nissi - Munalaskme - Riisipere - Tabara - Turba - Nissi",,3,,,
harju_regionalbus_SN2,"SN2","Nissi - Lehetu - Turba - Ellamaa - Turba - Nissi",,3,,,
harju_regionalbus_SN3,"SN3","Nissi - Turba - Tabara - Nissi - Munalaskme - Nissi",,3,,,
harju_regionalbus_SN4,"SN4","Turba - Kivitammi - Siimika - Lepaste - Ellamaa - Risti",,3,,,
harju_regionalbus_V1,"V1","Haabneeme - Rohuneeme",,3,,,
harju_regionalbus_V2,"V2","Haabneeme - Leppneeme - Randvere",,3,,,
harju_regionalbus_V3,"V3","Haabneeme - Viimsi - Soosepa",,3,,,
harju_regionalbus_V4,"V4","Haabneeme - Leppneeme - Randvere - Mähe - Viimsi - Haabneeme",,3,,,
harju_regionalbus_V4A,"V4A","Haabneeme - Tammneeme - Randvere - Mähe - Viimsi - Haabneeme",,3,,,
harju_regionalbus_V5,"V5","Haabneeme - Kelvingi - Leppneeme",,3,,,
harju_regionalbus_V6,"V6","Haabneeme - Leppneeme - Randvere - Mähe - Muuga",,3,,,
harju_regionalbus_V7,"V7","Haabneeme - Leppneeme-Randvere-Muuga-Mähe-Viimsi-Haabneeme",,3,,,
harju_regionalbus_V7A,"V7A","Haabneeme - Leppneeme-Randvere-Muuga sadam - Mähe - Haabneeme",,3,,,
harju_regionalbus_V8,"V8","Haabneeme - Viimsi - Mähe - Randvere - Leppneeme - Haabneeme",,3,,,
harju_regionalbus_V9,"V9","Haabneeme - Viimsi - Mähe-Muuga-Randvere-Leppneeme - Haabneeme",,3,,,
harju_regionalbus_Ä1,"Ä1","Ääsmäe - Jõgisoo- Valingu- Keila- Tuula- Orava- Ääsmäe",,3,,,
harju_regionalbus_Ä2,"Ä2","Maidla - Ääsmäe - Jõgisoo - Voore - Ääsmäe",,3,,,
harju_regionalbus_Ä3,"Ä3","Ääsmäe - Tuula - Keila - Valingu - Jõgisoo - Ääsmäe",,3,,,
harju_regionalbus_Ä4,"Ä4","Ääsmäe - Maidla - Voore - Jõgisoo - Ääsmäe",,3,,,
harju_regionalbus_100,"100","Tallinn - Laagna - Maardu",,3,,,
harju_regionalbus_101,"101","Tallinn - Maardu",,3,,,
harju_regionalbus_104A,"104A","Tallinn - Loo - Kostivere",,3,,,
harju_regionalbus_104B,"104B","Tallinn - Loo - Lagedi mõis - Kostivere - Haljava",,3,,,
harju_regionalbus_104C,"104C","Tallinn - Loo - Lagedi mõis - Kostivere - Jõelähtme",,3,,,
harju_regionalbus_105,"105","Tallinn - Vaida - Pikavere - Alavere - Voose",,3,,,
harju_regionalbus_105E,"105E","Tallinn - Vaida - Pikavere - Alavere - Voose",,3,,,
harju_regionalbus_106,"106","Tallinn - Laagna - Loo",,3,,,
harju_regionalbus_106A,"106A","Tallinn - Loo - Lagedi",,3,,,
harju_regionalbus_106B,"106B","Tallinn - Loo",,3,,,
harju_regionalbus_107,"107","Tallinn - Harku - Keila - Vasalemma - Ämari -  Munalaskme",,3,,,
harju_regionalbus_108,"108","Tallinn - Tabasalu - Vääna-Jõesuu - Keila-Joa",,3,,,
harju_regionalbus_109,"109","Tallinn - Tabasalu - Vääna - Kindluse - Keila",,3,,,
harju_regionalbus_110,"110","Keila - Lohusalu",,3,,,
harju_regionalbus_111,"111","Tallinn - Tabasalu - Vatsla - Harku - Tallinn",,3,,,
harju_regionalbus_111A,"111A","Tallinn - Harku - Vatsla - Tabasalu - Tallinn",,3,,,
harju_regionalbus_112,"112","Haabersti - Harku - Laagri - Urda jaam - Koidu küla",,3,,,
harju_regionalbus_113,"113","Saku - Jälgimäe - Vana-Pääsküla - Jälgimäe - Saku",,3,,,
harju_regionalbus_114,"114","Tallinn - Haabneeme - Rohuneeme",,3,,,
harju_regionalbus_116,"116","Tallinn - Raku - Luige - Kiili - Nabala - Sookaera",,3,,,
harju_regionalbus_116A,"116A","Tallinn - Luige - Kiili - Sõmeru",,3,,,
harju_regionalbus_117,"117","Tallinn - Saku - Kiisa - Tagadi - Männiku",,3,,,
harju_regionalbus_117A,"117A","Tallinn - Saku",,3,,,
harju_regionalbus_118,"118","Tallinn - Harku - Vääna",,3,,,
harju_regionalbus_119,"119","Tallinn - Harutee - Riisipere - Turba - Lehetu",,3,,,
harju_regionalbus_120,"120","Tallinn - Jüri",,3,,,
harju_regionalbus_121,"121","Tallinn - Mõigu - Peetri - Järveküla - Peetri - Tallinn",,3,,,
harju_regionalbus_122,"122","Tallinn - Tabasalu - Vääna-Jõesuu",,3,,,
harju_regionalbus_123,"123","Tallinn - Suurupi - Liikva - Sõrve - Tallinn",,3,,,
harju_regionalbus_124,"124","Mustamäe - Harkujärve - Tabasalu - Vääna-Jõesuu",,3,,,
harju_regionalbus_125,"125","Tallinn - Jüri - Lagedi",,3,,,
harju_regionalbus_126,"126","Tallinn - Tabasalu - Vääna-Jõesuu - Keila-Joa - Lohusalu",,3,,,
harju_regionalbus_127,"127","Tallinn - Tabasalu - Sõrve - Vääna - Keila-Joa - Kloogaranna",,3,,,
harju_regionalbus_128,"128","Tallinn - Tabasalu - Vääna-Jõesuu - Lohusalu - Kloogaranna",,3,,,
harju_regionalbus_129,"129","Tallinn - Tabasalu - Suurupi",,3,,,
harju_regionalbus_130,"130","Tallinn - Vaida - Tuhala - Kose",,3,,,
harju_regionalbus_131,"131","Tallinn - Vaida",,3,,,
harju_regionalbus_132,"132","Tallinn - Järveküla - Rae küla - Jüri",,3,,,
harju_regionalbus_132A,"132A","Tallinn - Järveküla - Rae küla - Jüri - Vaida",,3,,,
harju_regionalbus_133,"133","Keila - Harutee -  Riisipere - Turba - Ellamaa - Lehetu",,3,,,
harju_regionalbus_134,"134","Tallinn - Jüri - Vana mnt - Vaida",,3,,,
harju_regionalbus_135,"135","Tallinn - Jüri - Aruküla - Peningi",,3,,,
harju_regionalbus_135C,"135C","Tallinn - Jüri - Aruküla - Peningi - Urvaste",,3,,,
harju_regionalbus_136,"136","Tallinn - Harku - Keila - Ämari - Madise - Paldiski",,3,,,
