"","id","longitude","type","district","latitude","name","href"
"81",1849,24.891160335349,"children","Lasnamäe",59.448090101488,"K. Kärberi tn 37a","/object/view/1849"
"82",1854,24.893855362658,"children","Lasnamäe",59.447161862882,"K. Kärberi tn 60a","/object/view/1854"
"83",1862,24.866168813256,"children","Lasnamäe",59.448403795203,"Muhu tn 2a","/object/view/1862"
"84",1864,24.871538699144,"children","Lasnamäe",59.450801934075,"Linnamäe tee 25b","/object/view/1864"
"85",1865,24.877197649586,"children","Lasnamäe",59.450543812894,"Linnamäe tee 45b","/object/view/1865"
"86",1868,24.883408458627,"children","Lasnamäe",59.449955712956,"Linnamäe tee 81a","/object/view/1868"
"87",1869,24.884789236218,"children","Lasnamäe",59.449978391941,"Linnamäe tee 85a","/object/view/1869"
"88",1871,24.840756911771,"children","Lasnamäe",59.441526613891,"Liikuri tn 68a // Loitsu tn 2a","/object/view/1871"
"89",1872,24.839843509658,"children","Lasnamäe",59.442056061541,"Liikuri tn 68a // Loitsu tn 2a","/object/view/1872"
"90",1873,24.837984067672,"children","Lasnamäe",59.442189351357,"Loitsu tn 3b","/object/view/1873"
"91",1874,24.872046108439,"children","Lasnamäe",59.452619760579,"Läänemere tee 20b","/object/view/1874"
"92",1876,24.862651261071,"children","Lasnamäe",59.451702976157,"Kihnu tn 2a // Läänemere tee 1a","/object/view/1876"
"93",1878,24.885012857421,"children","Lasnamäe",59.453181851277,"Läänemere tee 41a","/object/view/1878"
"94",1879,24.88534490798,"children","Lasnamäe",59.452064767224,"Läänemere tee 62a","/object/view/1879"
"95",1882,24.871842020143,"children","Lasnamäe",59.441185279801,"Mahtra tn 12a","/object/view/1882"
"96",1883,24.872948943693,"children","Lasnamäe",59.439643200525,"Mahtra tn 26a","/object/view/1883"
"97",1886,24.875088735295,"children","Lasnamäe",59.438686362061,"Mahtra tn 42b","/object/view/1886"
"98",1887,24.878880798643,"children","Lasnamäe",59.439618337803,"Mahtra tn 52a","/object/view/1887"
"99",1890,24.879340247066,"children","Lasnamäe",59.440925895176,"Mahtra tn 68a","/object/view/1890"
"100",1892,24.794844167712,"children","Lasnamäe",59.427865433037,"Sikupilli tn 14a","/object/view/1892"
"101",1897,24.863784758652,"children","Lasnamäe",59.447939577081,"Linnamäe tee 2b","/object/view/1897"
"102",1902,24.816800974745,"children","Lasnamäe",59.43477235286,"Pae tn 58a","/object/view/1902"
"103",1905,24.819382362763,"children","Lasnamäe",59.434854799491,"Pae tn 58a","/object/view/1905"
"104",1909,24.821021842735,"children","Lasnamäe",59.438190618517,"Pae tn 59a","/object/view/1909"
"105",1912,24.826454073449,"children","Lasnamäe",59.43680701709,"Paekaare tn 38a","/object/view/1912"
"106",1914,24.824928720763,"children","Lasnamäe",59.435698446467,"Pae tn 68a // Paekaare tn 54a","/object/view/1914"
"107",1916,24.816089932632,"children","Lasnamäe",59.436498313147,"Pae tn 51b","/object/view/1916"
"108",1923,24.841905317957,"children","Lasnamäe",59.437010405629,"Pikri tn 3a","/object/view/1923"
"109",1929,24.832027430348,"children","Lasnamäe",59.438177305196,"Kalevipoja tänav plats 1","/object/view/1929"
"110",1930,24.813069088785,"children","Lasnamäe",59.432541845644,"Punane tn 5a","/object/view/1930"
"111",1935,24.825458175663,"children","Lasnamäe",59.434071524922,"Punane tn 35a","/object/view/1935"
"112",1936,24.845821936705,"children","Lasnamäe",59.436821498184,"Pikri tn 4a","/object/view/1936"
"113",1940,24.879604454333,"children","Lasnamäe",59.442428948531,"Raadiku tn 3a","/object/view/1940"
"114",1942,24.887981653412,"children","Lasnamäe",59.443624212638,"Raadiku tn 25","/object/view/1942"
"115",1945,24.899515883196,"children","Lasnamäe",59.444152224489,"Ümera tn 50b","/object/view/1945"
"116",1951,24.843525601824,"children","Lasnamäe",59.438508253277,"Vikerlase tn 20a","/object/view/1951"
"117",1954,24.845877311561,"children","Lasnamäe",59.441415731609,"Virbi tn 18a","/object/view/1954"
"118",1956,24.873268800743,"children","Lasnamäe",59.454249804852,"Vormsi tn 5 plats 1","/object/view/1956"
"119",1961,24.83291025864,"children","Lasnamäe",59.44290847969,"Võru tn 16a","/object/view/1961"
"120",1965,24.895921038642,"children","Lasnamäe",59.444006370874,"Ümera tn 21a","/object/view/1965"
"121",1969,24.898960035929,"children","Lasnamäe",59.445844948697,"Ümera tn 56a","/object/view/1969"
"122",1972,24.671132110766,"children","Mustamäe",59.397693043825,"Akadeemia tee 2a","/object/view/1972"
"123",1976,24.660821870314,"children","Mustamäe",59.40080419434,"Akadeemia tee 54a","/object/view/1976"
"124",1978,24.658688350436,"children","Mustamäe",59.402739690309,"Akadeemia tee 60b","/object/view/1978"
"125",1981,24.660435216435,"children","Mustamäe",59.404010034967,"E. Vilde tee 130a","/object/view/1981"
"126",1985,24.668081142507,"children","Mustamäe",59.403161271653,"Ehitajate tee 49a","/object/view/1985"
"127",1989,24.670409143485,"children","Mustamäe",59.406897960367,"Ehitajate tee 74a","/object/view/1989"
"128",2020,24.660692639812,"children","Mustamäe",59.406142768622,"Kadaka tee 155a","/object/view/2020"
"129",2024,24.658924078881,"children","Mustamäe",59.404746399047,"Akadeemia tee 68b // Kadaka tee 171a","/object/view/2024"
"130",2033,24.678034266439,"children","Mustamäe",59.40337041269,"Mustamäe tee 118a","/object/view/2033"
"131",2034,24.689235137913,"children","Mustamäe",59.410347151834,"Mustamäe tee 151a","/object/view/2034"
"132",2037,24.676099826827,"children","Mustamäe",59.407605079165,"A. H. Tammsaare tee 139a","/object/view/2037"
"133",2038,24.677357566132,"children","Põhja-Tallinn",59.455602621811,"Ankru tn 2b","/object/view/2038"
"134",2039,24.738101846233,"children","Põhja-Tallinn",59.444956601756,"Vana-Kalamaja tn 15","/object/view/2039"
"135",2040,24.711901676667,"children","Põhja-Tallinn",59.445768512952,"Rukki tn 8","/object/view/2040"
"136",2041,24.708605585216,"children","Põhja-Tallinn",59.445045866687,"Rukki tn 20a","/object/view/2041"
"137",2044,24.724081353555,"children","Põhja-Tallinn",59.438131565328,"Heina tn 1","/object/view/2044"
"138",2045,24.686143522024,"children","Põhja-Tallinn",59.442871700854,"Pelgurand (plats Pelgurana 59 vastas)","/object/view/2045"
"139",2046,24.685268329379,"children","Põhja-Tallinn",59.441445552386,"Pelgurand (plats rongiga)","/object/view/2046"
"140",2047,24.684316999615,"children","Põhja-Tallinn",59.441159654138,"Pelgurand (plats püstpalk piirdega)","/object/view/2047"
"141",2048,24.68514001886,"children","Põhja-Tallinn",59.443530148154,"Pelgurand (fitnesselemendid)","/object/view/2048"
"142",2049,24.683838511721,"children","Põhja-Tallinn",59.440875442547,"Pelgurand (plats võrkronilaga)","/object/view/2049"
"143",2050,24.684963186263,"children","Põhja-Tallinn",59.440854229111,"Pelgurand (plats linnupesakiigega)","/object/view/2050"
"144",2051,24.683511809411,"children","Põhja-Tallinn",59.439887708616,"Pelgurand (plats vana metallronilaga)","/object/view/2051"
"145",2052,24.710807352112,"children","Põhja-Tallinn",59.452823635579,"Karjamaa tn 5","/object/view/2052"
"146",2053,24.713765565603,"children","Põhja-Tallinn",59.450207600803,"Erika tn 5b","/object/view/2053"
"147",2054,24.703019170241,"children","Põhja-Tallinn",59.441184846674,"Kolde pst 76a","/object/view/2054"
"148",2056,24.69566995794,"children","Põhja-Tallinn",59.444674575309,"Vihuri tn 5a","/object/view/2056"
"149",2057,24.688504570943,"children","Põhja-Tallinn",59.449003357019,"Randla tn 16a","/object/view/2057"
"150",2058,24.686096963964,"children","Põhja-Tallinn",59.452908893349,"Kopli tn 69c // Kopli kalmistupark","/object/view/2058"
"151",2059,24.698587003908,"children","Põhja-Tallinn",59.459296713236,"Laevastiku tn 1c","/object/view/2059"
"152",2060,24.703579233811,"children","Mustamäe",59.400762510266,"Retke tee 6a ","/object/view/2060"
"153",2061,24.705024925959,"children","Mustamäe",59.399251414111,"Retke tee 30b","/object/view/2061"
"154",2062,24.704891756751,"children","Mustamäe",59.402185012971,"Retke tee 6a","/object/view/2062"
"155",2063,24.693134482156,"children","Mustamäe",59.397245981252,"J. Sütiste tee 22a","/object/view/2063"
"156",2064,24.688590851514,"children","Mustamäe",59.398395815526,"Sõpruse pst 233a","/object/view/2064"
"157",2065,24.718641936595,"children","Põhja-Tallinn",59.437322095889,"Ristiku tn 16","/object/view/2065"
"158",2066,24.690191948409,"children","Põhja-Tallinn",59.450695898175,"Lõime tn 19a","/object/view/2066"
"159",2067,24.689028168468,"children","Põhja-Tallinn",59.45115246378,"Lõime tn 20a","/object/view/2067"
"160",2068,24.703240020961,"children","Põhja-Tallinn",59.442320787593,"Sõle tn 41a","/object/view/2068"
"161",2069,24.693562493579,"children","Põhja-Tallinn",59.449499394246,"Ketraja tn 3a","/object/view/2069"
"162",2072,24.854066623418,"children","Pirita",59.456521407705,"Tammetõru tn 2","/object/view/2072"
"163",2073,24.839144280476,"children","Pirita",59.494393187407,"Väina tee 29a","/object/view/2073"
"164",2074,24.869624867984,"children","Pirita",59.491099795183,"Aianduse tee 70a ","/object/view/2074"
"165",2076,24.831531054311,"children","Pirita",59.457527662077,"Lehise tn 4a ","/object/view/2076"
"166",2078,24.832715032464,"children","Pirita",59.467724109517,"Pirita rannaala","/object/view/2078"
"167",2079,24.724909539446,"children","Nõmme",59.392521333953,"Pärnu mnt 145","/object/view/2079"
