school,school year,number of scores,exam,mean score,median score
Tallinna Mustamäe Reaalgümnaasium,2016/17,11,Laia matemaatika riigieksam,34.6,35
Tallinna Mustjõe Gümnaasium,2016/17,27,Eesti keel teise keelena riigieksam,62.8,65
Tallinna Mustjõe Gümnaasium,2016/17,23,Kitsa matemaatika riigieksam,27.6,23
Tallinna Nõmme Gümnaasium,2016/17,67,Eesti keele riigieksam,62.6,63
Tallinna Nõmme Gümnaasium,2016/17,17,Kitsa matemaatika riigieksam,43,40
Tallinna Nõmme Gümnaasium,2016/17,50,Laia matemaatika riigieksam,60.5,61
Tallinna Pae Gümnaasium,2016/17,31,Eesti keel teise keelena riigieksam,77.9,84
Tallinna Pae Gümnaasium,2016/17,25,Kitsa matemaatika riigieksam,51.1,51
Tallinna Pae Gümnaasium,2016/17,7,Laia matemaatika riigieksam,54.7,58
Tallinna Prantsuse Lütseum,2016/17,50,Eesti keele riigieksam,81,84
Tallinna Prantsuse Lütseum,2016/17,19,Kitsa matemaatika riigieksam,80.3,83
Tallinna Prantsuse Lütseum,2016/17,32,Laia matemaatika riigieksam,83.9,87
Tallinna Reaalkool,2016/17,106,Eesti keele riigieksam,83.7,85
Tallinna Reaalkool,2016/17,106,Laia matemaatika riigieksam,89.3,91
Tallinna Saksa Gümnaasium,2016/17,68,Eesti keele riigieksam,65.6,66.5
Tallinna Saksa Gümnaasium,2016/17,14,Kitsa matemaatika riigieksam,30.8,26
Tallinna Saksa Gümnaasium,2016/17,31,Laia matemaatika riigieksam,27.3,18
Tallinna Tehnikagümnaasium,2016/17,49,Eesti keele riigieksam,59.7,60
Tallinna Tehnikagümnaasium,2016/17,47,Laia matemaatika riigieksam,28.7,26
Tallinna Tõnismäe Reaalkool,2016/17,52,Eesti keel teise keelena riigieksam,85.6,88.5
Tallinna Tõnismäe Reaalkool,2016/17,25,Kitsa matemaatika riigieksam,63,66
Tallinna Tõnismäe Reaalkool,2016/17,27,Laia matemaatika riigieksam,62.1,66
Tallinna Õismäe Gümnaasium,2016/17,37,Eesti keele riigieksam,62.1,61
Tallinna Õismäe Gümnaasium,2016/17,15,Kitsa matemaatika riigieksam,31.9,34
Tallinna Õismäe Gümnaasium,2016/17,23,Laia matemaatika riigieksam,54.4,54
Tallinna Õismäe Vene Lütseum,2016/17,51,Eesti keel teise keelena riigieksam,84.4,88
Tallinna Õismäe Vene Lütseum,2016/17,20,Kitsa matemaatika riigieksam,44,41.5
Tallinna Õismäe Vene Lütseum,2016/17,31,Laia matemaatika riigieksam,42.3,39
Tallinna Ühisgümnaasium,2016/17,71,Eesti keele riigieksam,62.5,63
Tallinna Ühisgümnaasium,2016/17,36,Kitsa matemaatika riigieksam,31.4,28.5
Tallinna Ühisgümnaasium,2016/17,35,Laia matemaatika riigieksam,45.4,44
Vanalinna Hariduskolleegium,2016/17,96,Eesti keele riigieksam,70.1,70.5
Vanalinna Hariduskolleegium,2016/17,18,Kitsa matemaatika riigieksam,41.3,40.5
Vanalinna Hariduskolleegium,2016/17,79,Laia matemaatika riigieksam,52.2,54
